company,car type,year,engine volume,km,hand,gear box,color,current owner,price,gas,horse power
טויוטה,קורולה,2019,1798,87300,1,אוטומטית,תכלת מטאלי,-,98700,בנזין,98
סקודה,קאמיק,2020,999,28000,1,אוטומטית,שנהב לבן,חברה,103000,בנזין,115
צ'רי,FX,2023,1598,0,1,אוטומטית,אפור מטל,חברה,149000,בנזין,186
פיג'ו,3008,2020,1199,65320,1,אוטומטית,אפור פלדה,חברה,126940,בנזין,130
סיטרואן,קקטוס,2017,1199,164500,2,אוטומטית,כסף,חברה,52000,בנזין,110
אם.ג'י - ‏MG,ZS,2020,0,59554,1,אוטומטית,לבן,-,110900,חשמל,143
טויוטה,יאריס קרוס,2023,1490,0,1,אוטומטית,כסף מטלי,חברה,168000,בנזין,125
סקודה,אוקטביה,2020,1498,91350,1,אוטומטית,שנהב לבן,ליסינג,99000,בנזין,150
קיה,נירו,2020,1580,82010,1,אוטומטית,שנהב לבן,ליסינג,107700,בנזין,141
טויוטה,קורולה,2019,1798,95046,1,אוטומטית,כסוף כהה מטלי,ליסינג,96400,בנזין,98
סיטרואן,C5 איירקרוס,2020,1499,62000,1,אוטומטית,שחור,-,123500,דיזל,130
הונדה,CR-V,2016,1997,105000,1,אוטומטית,אפור ברונזה,חברה,90000,בנזין,155
סובארו,XV,2019,1600,90450,1,אוטומטית,לבן,השכרה,84401,בנזין,114
קיה,סטוניק,2020,998,66000,1,אוטומטית,לבן,-,104900,בנזין,120
מיצובישי,אאוטלנדר,2019,1998,92388,1,אוטומטית,אפור,ליסינג,129261,בנזין,150
קיה,סטוניק,2019,998,127266,1,אוטומטית,כסף,ליסינג,80560,בנזין,120
פולקסווגן,גולף,2018,1984,106500,2,אוטומטית,אדום כהה (יין),-,139000,בנזין,230
סקודה,אוקטביה,2020,1498,89371,1,אוטומטית,אפור מטל,חברה,115460,בנזין,150
סיטרואן,C3,2020,1199,53066,1,אוטומטית,אפור כהה,ליסינג,87763,בנזין,110
סקודה,אוקטביה,2019,999,123970,1,אוטומטית,שחור מטלי,-,77400,בנזין,115
מיצובישי,אאוטלנדר,2018,1998,116625,1,אוטומטית,אפור,-,121900,בנזין,150
סקודה,קודיאק,2020,1498,51000,1,אוטומטית,שחור מטלי,פרטי,168000,בנזין,150
סקודה,קודיאק,2020,1498,51000,1,אוטומטית,שחור מטלי,פרטי,168000,בנזין,150
סקודה,אוקטביה,2019,999,102978,1,אוטומטית,אפור מטל,ליסינג,90001,בנזין,115
סקודה,אוקטביה,2020,1498,79413,1,אוטומטית,כסף מטלי,חברה,115487,בנזין,150
מרצדס,E-Class,2019,1991,59510,1,אוטומטית,כסף תכלת מטלי,חברה,317900,חשמל/בנזין,211
סקודה,קודיאק,2018,1984,139000,1,אוטומטית,בז,-,162200,בנזין,180
סקודה,סופרב,2019,1395,116450,1,אוטומטית,שחור מטלי,ליסינג,126335,בנזין,150
קיה,פיקנטו,2019,1248,109870,1,אוטומטית,כסף,השכרה,70493,בנזין,84
פיג'ו,3008,2019,1499,93205,1,אוטומטית,אפור כהה,חברה,130344,דיזל,130
קיה,פיקנטו,2020,1248,20600,1,אוטומטית,כסף,ליסינג,76230,בנזין,84
סקודה,אוקטביה,2020,1498,109576,1,אוטומטית,אפור מטל,חברה,116229,בנזין,150
טויוטה,קורולה,2019,1798,102577,1,אוטומטית,שנהב לבן,ליסינג,94300,בנזין,98
אופל,INSIGNIA,2017,1998,116552,1,אוטומטית,לבן,חברה,108299,בנזין,260
מיצובישי,אאוטלנדר,2019,1998,105756,1,אוטומטית,אפור,ליסינג,120619,בנזין,150
ג'יפ,רנגלר,2022,1995,0,1,אוטומטית,אדום,-,339900,בנזין,272
קיה,סלטוס,2021,1999,41000,1,אוטומטית,שחור,פרטי,125000,בנזין,149
סקודה,אוקטביה,2019,1498,99028,1,אוטומטית,שנהב לבן,ליסינג,88100,בנזין,150
קיה,אקס סיד,2021,1353,43000,1,אוטומטית,כסף,פרטי,106400,בנזין,140
סקודה,קודיאק,2018,1968,87000,1,אוטומטית,אפור מטל,-,155500,דיזל,150
יונדאי,I10,2019,1248,115690,1,אוטומטית,כסף,השכרה,56807,בנזין,87
קאדילאק,XT5,2019,3649,95000,2,אוטומטית,שחור מטלי,חברה,194900,בנזין,310
מיצובישי,אטראז,2020,1193,74452,1,אוטומטית,אפור,ליסינג,66171,בנזין,80
ניסאן,קשקאי,2016,1197,109000,1,אוטומטית,קפה מטאלי,-,69000,בנזין,115
סיאט,ארונה,2020,999,72253,1,אוטומטית,שן פיל,ליסינג,92200,בנזין,115
סקודה,אוקטביה,2020,1498,67899,1,אוטומטית,שחור מטלי,ליסינג,108933,בנזין,150
טויוטה,קורולה,2019,1798,72230,1,אוטומטית,כסוף כהה מטלי,-,103800,בנזין,98
ניסאן,קשקאי,2020,1332,20000,1,אוטומטית,לבן,פרטי,137000,בנזין,160
שברולט,ספארק,2020,1399,25031,1,אוטומטית,שנהב לבן,ליסינג,70472,בנזין,98
סקודה,קארוק,2019,999,127022,1,אוטומטית,אפור מטל,-,87963,בנזין,115
סקודה,אוקטביה,2018,1395,129434,1,אוטומטית,שנהב לבן,ליסינג,76600,בנזין,150
קיה,פיקנטו,2021,1248,28500,1,אוטומטית,אדום,-,79000,בנזין,84
מאזדה,3,2020,1998,77948,1,אוטומטית,שנהב לבן,חברה,100099,בנזין,165
סקודה,אוקטביה,2020,1498,93355,1,אוטומטית,שחור מטלי,ליסינג,103247,בנזין,150
קאדילאק,XT6,2021,3649,23000,1,אוטומטית,שחור מטלי,חברה,331000,בנזין,310
אאודי,Q7,2020,2967,61000,1,אוטומטית,כסף מטלי,-,414000,דיזל,286
ניסאן,קשקאי,2019,1598,132000,1,אוטומטית,שחור מטלי,-,118000,דיזל,130
יונדאי,I10,2020,1197,60893,1,אוטומטית,שחור,השכרה,63663,בנזין,84
מיצובישי,אאוטלנדר,2019,1998,110153,1,אוטומטית,שנהב לבן,ליסינג,122039,בנזין,150
קיה,נירו,2019,1580,145301,1,אוטומטית,לבן,-,87400,בנזין,141
ב מ וו,X1,2020,1499,27700,2,אוטומטית,שחור מטלי,פרטי,188000,בנזין,140
דאצ'יה,לוגאן,2019,1461,84867,1,ידנית,שנהב לבן,ליסינג,51896,דיזל,95
מרצדס,GLC,2018,1991,43000,1,אוטומטית,שחור,פרטי,246000,חשמל/בנזין,211
סיטרואן,קקטוס,2017,1199,75500,2,אוטומטית,סגול,חברה,45000,בנזין,110
אאודי,Q2,2023,1498,0,1,אוטומטית,שנהב לבן,חברה,204100,בנזין,150
סקודה,קארוק,2019,1598,105000,2,אוטומטית,כחול פחם מטלי,חברה,99000,דיזל,115
פולקסווגן,טוארג,2012,3597,190000,1,אוטומטית,שחור מטלי,-,69000,בנזין,280
סיטרואן,ברלינגו,2020,1499,94707,1,אוטומטית,שנהב לבן,חברה,120884,דיזל,130
קיה,פיקנטו,2020,1248,41712,1,אוטומטית,שנהב לבן,ליסינג,72371,בנזין,84
שברולט,אקווינוקס,2019,1490,129177,1,אוטומטית,אפור מטל,-,103421,בנזין,170
שברולט,ספארק,2020,1399,89297,1,אוטומטית,שחור מטלי,-,54197,בנזין,98
מיצובישי,אאוטלנדר,2019,1998,149449,1,אוטומטית,אפור,-,124667,בנזין,150
סקודה,קודיאק,2020,1498,127900,1,אוטומטית,אפור כהה,ליסינג,147000,בנזין,150
מיצובישי,אאוטלנדר,2020,1998,97621,1,אוטומטית,לבן,-,125700,בנזין,150
מאזדה,3,2019,1998,69750,1,אוטומטית,לבן,-,105000,בנזין,165
קיה,ספורטאז,2019,1598,65700,1,אוטומטית,כסף,חברה,110444,דיזל,136
סקודה,סופרב,2015,1798,102000,2,אוטומטית,שחור מטלי,-,57200,בנזין,160
סקודה,סופרב,2019,1498,73129,1,אוטומטית,כסף מטלי,ליסינג,144085,בנזין,150
סובארו,XV,2017,1600,118000,1,אוטומטית,בורדו,-,73000,בנזין,114
ב מ וו,318I,2023,1998,0,1,אוטומטית,שחור,חברה,293000,בנזין,156
אאודי,A4,2023,1984,0,1,אוטומטית,אפור כהה מטלי,חברה,310352,בנזין,204
יונדאי,I10,2019,1248,90541,1,אוטומטית,שנהב לבן,ליסינג,62600,בנזין,87
יונדאי,I10,2019,1248,90541,1,אוטומטית,שנהב לבן,ליסינג,62600,בנזין,87
סקודה,אוקטביה,2020,1498,63488,1,אוטומטית,שנהב לבן,ליסינג,107400,בנזין,150
פיג'ו,208,2018,1199,117265,1,אוטומטית,כחול כהה,חברה,56372,בנזין,110
פיג'ו,208,2020,1199,72813,1,אוטומטית,אפור כהה,-,55125,בנזין,110
מיצובישי,ASX,2019,1998,62189,1,אוטומטית,שנהב לבן,חברה,104410,בנזין,150
קאדילאק,XT4,2023,1977,0,1,אוטומטית,שחור מטלי,חברה,293900,בנזין,237
אינפיניטי,Q50,2018,1991,85000,1,אוטומטית,שנהב לבן,חברה,123000,בנזין,211
מאזדה,6,2018,1998,168909,1,אוטומטית,שנהב לבן,השכרה,77119,בנזין,165
טויוטה,אוריס,2018,1798,85413,1,אוטומטית,אדום מטל,ליסינג,96000,בנזין,99
סקודה,אוקטביה,2020,1498,130605,1,אוטומטית,אפור מטל,ליסינג,93051,בנזין,150
אאודי,Q5,2014,1984,161104,1,אוטומטית,לבן,-,109180,בנזין,225
פיאט,500,2022,0,9000,2,אוטומטית,שנהב לבן,פרטי,132000,חשמל,120
קיה,נירו,2018,1580,107722,1,אוטומטית,שנהב לבן,חברה,109235,בנזין,141
מיצובישי,L200,2017,2442,114435,1,אוטומטית,שנהב לבן,ליסינג,132010,דיזל,154
מיצובישי,ASX,2020,1998,90789,1,אוטומטית,אפור,-,100900,בנזין,150
פיג'ו,3008,2020,1598,69850,1,אוטומטית,שנהב לבן,חברה,138582,בנזין,180
אופל,קרוסלנד,2021,1199,44400,1,אוטומטית,לבן,-,79900,בנזין,130
מיצובישי,אאוטלנדר,2019,2360,156040,1,אוטומטית,שחור,-,104900,חשמל/בנזין,135
מאזדה,CX-5,2019,1998,118002,1,אוטומטית,שנהב לבן,ליסינג,131836,בנזין,165
טויוטה,קורולה,2020,1598,104866,1,אוטומטית,תכלת מטאלי,ליסינג,101500,בנזין,132
קיה,נירו,2018,1580,148700,2,אוטומטית,טורקיז,חברה,86900,בנזין,141
אאודי,A6,2022,2995,4400,1,אוטומטית,שחור מטלי,חברה,500000,בנזין,340
פורד,מאבריק,2022,1999,5000,1,אוטומטית,אפור בהיר,ליסינג,239990,בנזין,250
סקודה,קארוק,2019,999,80000,1,אוטומטית,כסף מטלי,חברה,109500,בנזין,115
סקודה,קודיאק,2018,1968,94000,1,אוטומטית,לבן,-,170000,דיזל,190
מאזדה,3,2018,1998,130771,1,אוטומטית,שחור,-,89776,בנזין,165
סיאט,אטקה,2017,1395,68416,1,אוטומטית,כתום,-,112900,בנזין,150
מיצובישי,אטראז,2020,1193,63301,1,אוטומטית,שנהב לבן,ליסינג,63221,בנזין,80
קיה,נירו,2016,1580,150000,2,אוטומטית,כחול,חברה,79000,בנזין,141
רנו,קליאו,2017,1197,87500,2,אוטומטית,שנהב לבן,חברה,24900,בנזין,118
סקודה,אוקטביה,2017,999,146000,2,אוטומטית,שנהב לבן,חברה,76400,בנזין,115
קיה,פיקנטו,2020,1248,81915,1,אוטומטית,לבן,-,65115,בנזין,84
יונדאי,אלנטרה,2016,1591,115446,2,אוטומטית,שנהב לבן,חברה,59520,בנזין,127
סקודה,קודיאק,2019,1498,103045,1,אוטומטית,כסף מטלי,ליסינג,129826,בנזין,150
סקודה,קארוק,2019,1498,70780,1,אוטומטית,כסף מטלי,-,105000,בנזין,150
שברולט,ספארק,2020,1399,113757,1,אוטומטית,כסף מטלי,השכרה,52655,בנזין,98
שברולט,ספארק,2021,1399,40000,1,אוטומטית,כסף מטלי,פרטי,77000,בנזין,98
ב מ וו,X5,2023,2998,0,1,אוטומטית,שחור מטלי,חברה,655000,חשמל/בנזין,286
יונדאי,איוניק,2019,1580,78415,1,אוטומטית,שנהב לבן,השכרה,95667,בנזין,141
קיה,ספורטאז,2019,1598,126548,1,אוטומטית,שנהב לבן,ליסינג,93861,דיזל,136
פיג'ו,3008,2020,1499,91027,1,אוטומטית,שנהב לבן,חברה,136699,דיזל,130
סקודה,קודיאק,2020,1498,118436,1,אוטומטית,אפור מטל,ליסינג,126805,בנזין,150
שברולט,טרייל בלייזר,2023,1341,0,1,אוטומטית,לבן,חברה,169000,בנזין,155
יונדאי,ג'נסיס,2022,2497,7500,1,אוטומטית,אפור מטל,חברה,371017,בנזין,304
סקודה,קארוק,2019,1498,107045,1,אוטומטית,שחור,ליסינג,99000,בנזין,150
סקודה,סופרב,2020,1498,116606,1,אוטומטית,אפור מטל,-,135249,בנזין,150
סקודה,אוקטביה,2019,1498,70090,1,אוטומטית,אפור מטל,חברה,111281,בנזין,150
סקודה,קודיאק,2019,1498,118376,1,אוטומטית,כסף מטלי,-,118700,בנזין,150
גילי,גיאומטרי,2023,0,0,1,אוטומטית,לבן,חברה,179900,חשמל,204
מאזדה,CX-5,2019,1998,62935,1,אוטומטית,כסף,ליסינג,125344,בנזין,165
רנו,קליאו,2019,1461,115147,1,אוטומטית,שנהב לבן,חברה,69722,דיזל,90
וולבו,XC60,2018,1969,76000,1,אוטומטית,שנהב לבן,פרטי,232000,חשמל/בנזין,389
שברולט,טראוורס,2019,3564,133637,1,אוטומטית,שחור,חברה,199900,בנזין,310
אאודי,A4,2023,1984,0,1,אוטומטית,לבן,חברה,302152,בנזין,204
סקודה,קודיאק,2019,1968,143000,1,אוטומטית,לבן,-,155000,דיזל,190
מיצובישי,אאוטלנדר,2019,1998,44955,1,אוטומטית,שחור,ליסינג,133593,בנזין,150
ג'יפ,קומפאס,2020,1368,31000,1,אוטומטית,שנהב לבן,חברה,150000,בנזין,170
קיה,נירו,2020,1580,51500,1,אוטומטית,אפור,חברה,120000,בנזין,141
יונדאי,איוניק,2020,1580,124089,1,אוטומטית,שחור מטלי,-,97500,בנזין,141
מאזדה,3,2019,1998,44360,1,אוטומטית,כסף,-,94000,בנזין,165
מאזדה,3,2019,1998,44360,1,אוטומטית,כסף,-,94000,בנזין,165
ג'יפ,רנגלר,2017,3604,147675,1,אוטומטית,אפור כהה,חברה,175000,בנזין,280
אאודי,Q2,2023,1498,0,1,אוטומטית,שחור,חברה,204100,בנזין,150
מיצובישי,אאוטלנדר,2019,1998,88070,1,אוטומטית,שנהב לבן,השכרה,127854,בנזין,150
סקודה,קודיאק,2018,1968,60000,1,אוטומטית,לבן,-,150000,דיזל,150
רנו,מגאן,2019,1332,92777,1,אוטומטית,שחור מטלי,ליסינג,79000,בנזין,140
ניסאן,נבארה,2021,2299,125000,1,אוטומטית,לבן,-,164900,דיזל,190
יונדאי,אקסנט,2020,1591,94894,1,אוטומטית,שנהב לבן,חברה,100063,בנזין,123
מיצובישי,אאוטלנדר,2019,1998,84296,1,אוטומטית,לבן,-,126081,בנזין,150
מאזדה,CX-5,2020,1998,66450,1,אוטומטית,כסף,ליסינג,137513,בנזין,165
טויוטה,קורולה,2020,1798,85771,1,אוטומטית,שנהב לבן,ליסינג,99500,בנזין,98
פיג'ו,2008,2020,1199,57839,1,אוטומטית,אפור פלדה,-,81900,בנזין,110
ניסאן,קשקאי,2020,1461,72550,1,אוטומטית,שנהב לבן,חברה,133159,דיזל,115
אאודי,A7,2020,1984,92000,2,אוטומטית,אפור מטל,חברה,329900,חשמל/בנזין,367
פיג'ו,3008,2019,1499,68398,3,אוטומטית,אדום,-,131250,דיזל,130
ב מ וו,X1,2020,1499,50872,1,אוטומטית,שנהב לבן,ליסינג,172036,בנזין,140
מיצובישי,אאוטלנדר,2019,1998,98443,1,אוטומטית,שנהב לבן,ליסינג,123872,בנזין,150
יונדאי,איוניק,2019,1580,137800,1,אוטומטית,לבן,ליסינג,97000,בנזין,141
מיצובישי,אקליפס,2019,1499,34045,1,אוטומטית,ברונזה,-,124900,בנזין,163
שברולט,ספארק,2020,1399,57817,1,אוטומטית,שחור מטלי,-,68068,בנזין,98
פיג'ו,3008,2019,1499,88816,1,אוטומטית,אפור כהה,ליסינג,124660,דיזל,130
אאודי,Q2,2021,1498,39332,1,אוטומטית,לבן,-,167628,בנזין,150
קיה,נירו,2019,1580,48932,1,אוטומטית,כסף,-,110200,בנזין,141
סקודה,אוקטביה,2019,999,113295,1,אוטומטית,כסף מטלי,-,89038,בנזין,115
קיה,סטוניק,2020,998,10000,1,אוטומטית,אדום,-,110000,בנזין,120
מאזדה,3,2017,1496,122534,1,אוטומטית,אפור,ליסינג,70500,בנזין,120
סקודה,אוקטביה,2020,1498,104176,1,אוטומטית,אפור מטל,חברה,102400,בנזין,150
סקודה,קודיאק,2018,1984,88000,1,אוטומטית,אפור מטל,-,148000,בנזין,180
ב מ וו,X3,2022,1998,11875,1,אוטומטית,שחור מטלי,-,369900,חשמל/בנזין,184
סיטרואן,C5 איירקרוס,2020,1499,118341,1,אוטומטית,שנהב לבן,ליסינג,101035,דיזל,130
קיה,פיקנטו,2019,1248,123776,1,אוטומטית,שנהב לבן,השכרה,69507,בנזין,84
פיג'ו,3008,2017,1598,117000,3,אוטומטית,אפור כהה,-,111000,בנזין,165
סקודה,קודיאק,2019,1498,126435,1,אוטומטית,אפור כהה,-,146980,בנזין,150
סיאט,ארונה,2020,999,55400,1,אוטומטית,אדום כהה (יין),חברה,95000,בנזין,115
קיה,ספורטאז,2019,1999,41000,1,אוטומטית,שחור,-,124900,בנזין,155
שברולט,ספארק,2020,1399,84698,1,אוטומטית,שחור מטלי,-,54197,בנזין,98
מרצדס,A-Class,2021,1332,35290,1,אוטומטית,אפור,פרטי,238000,חשמל/בנזין,160
יונדאי,אקסנט,2020,1368,64319,1,אוטומטית,כסף,השכרה,85605,בנזין,100
פיג'ו,2008,2020,1199,47071,1,אוטומטית,אפור פלדה,ליסינג,84235,בנזין,110
פיג'ו,208,2020,1199,96630,1,אוטומטית,לבן,-,55125,בנזין,110
וולבו,XC40,2019,1969,90000,1,אוטומטית,כסף מטלי,פרטי,169000,בנזין,190
סקודה,אוקטביה,2019,999,88010,1,אוטומטית,לבן,-,84900,בנזין,115
ג'יפ,קומפאס,2021,1332,26000,1,אוטומטית,שחור,פרטי,159900,בנזין,150
ניסאן,קשקאי,2019,1461,58833,1,אוטומטית,כסף מטלי,-,114853,דיזל,115
אאודי,A6,2017,1984,118000,2,אוטומטית,שחור מטלי,-,159000,בנזין,252
שברולט,ספארק,2017,1399,101127,2,אוטומטית,ירקרק מטלי,-,52900,בנזין,98
טסלה,מודל 3,2021,0,33000,1,אוטומטית,אפור כהה מטלי,פרטי,258000,חשמל,513
יונדאי,טוסון,2019,1999,108361,1,אוטומטית,שנהב לבן,ליסינג,98500,בנזין,155
מיצובישי,אאוטלנדר,2018,1998,110581,1,אוטומטית,שנהב לבן,השכרה,123687,בנזין,150
פיג'ו,208,2021,1199,33227,1,אוטומטית,שנהב לבן,ליסינג,74000,בנזין,110
סיטרואן,C5 איירקרוס,2021,1499,83000,1,אוטומטית,שנהב לבן,חברה,137130,דיזל,130
יונדאי,טוסון,2023,1598,0,1,אוטומטית,אפור מטל,חברה,179900,בנזין,180
סקודה,אוקטביה,2019,1498,89826,1,אוטומטית,כסף מטלי,-,91400,בנזין,150
ניסאן,קשקאי,2017,1598,103500,1,אוטומטית,חום כהה,פרטי,74000,דיזל,130
ג'יפ,קומפאס,2022,1332,11000,1,אוטומטית,כסף מטלי,חברה,200500,בנזין,150
טויוטה,ראב 4,2020,2487,110139,1,אוטומטית,כחול כהה,ליסינג,156842,בנזין,178
סקודה,אוקטביה,2020,1498,85769,1,אוטומטית,שנהב לבן,ליסינג,106600,בנזין,150
שברולט,טראקס,2015,1796,171496,2,אוטומטית,כסף מטלי,חברה,29900,בנזין,140
פיג'ו,3008,2020,1199,90881,1,אוטומטית,אפור כהה,-,111264,בנזין,130
אאודי,Q3,2018,1984,66550,1,אוטומטית,שנהב לבן,חברה,151956,בנזין,180
מיצובישי,אאוטלנדר,2017,1998,84700,1,אוטומטית,שחור,חברה,118000,בנזין,150
סקודה,קודיאק,2019,1498,75980,1,אוטומטית,בז,ליסינג,141607,בנזין,150
לנד רובר,איווק,2022,1997,16159,1,אוטומטית,פלטינה,-,359000,בנזין,249
שברולט,ספארק,2018,1399,46000,1,אוטומטית,אדום,-,67900,בנזין,98
סובארו,פורסטר,2017,1995,104000,1,אוטומטית,שחור,-,100000,בנזין,150
ניסאן,אקס טרייל,2017,1598,89500,3,אוטומטית,שחור מטלי,חברה,90000,דיזל,130
קיה,ספורטאז,2019,1598,114620,1,אוטומטית,לבן,-,99900,דיזל,136
אאודי,A4,2023,1984,0,1,אוטומטית,אפור כהה מטלי,חברה,310352,בנזין,204
סקודה,קודיאק,2019,1498,131690,1,אוטומטית,שנהב לבן,ליסינג,140000,בנזין,150
פיג'ו,3008,2020,1499,117512,1,אוטומטית,שנהב לבן,חברה,136630,דיזל,130
טויוטה,קורולה,2019,1798,91000,1,אוטומטית,שנהב לבן,פרטי,108000,בנזין,122
סקודה,אוקטביה,2019,999,103653,1,אוטומטית,אפור מטל,-,80100,בנזין,115
אאודי,A1,2021,999,15842,1,אוטומטית,לבן,-,135000,בנזין,110
ניסאן,סנטרה,2020,1798,55000,1,אוטומטית,לבן,-,89900,בנזין,124
מיצובישי,אאוטלנדר,2019,1998,121600,1,אוטומטית,שחור,ליסינג,124383,בנזין,150
פיג'ו,5008,2020,1499,107179,1,אוטומטית,שנהב לבן,חברה,150429,דיזל,130
שברולט,ספארק,2020,1399,91753,1,אוטומטית,אפור מטל,-,54197,בנזין,98
קיה,פיקנטו,2020,1248,27000,1,אוטומטית,אדום,-,80900,בנזין,84
קיה,סטוניק,2019,998,89289,1,אוטומטית,שנהב לבן,ליסינג,78600,בנזין,120
סקודה,קודיאק,2019,1498,125168,1,אוטומטית,אפור מטל,ליסינג,121928,בנזין,150
פיג'ו,3008,2019,1199,106000,1,אוטומטית,אפור,חברה,117000,בנזין,130
סקודה,אוקטביה,2019,1498,128240,1,אוטומטית,קפה מטאלי,-,84183,בנזין,150
סיטרואן,C3 איירקרוס,2020,1199,81790,1,אוטומטית,שנהב לבן,חברה,93057,בנזין,130
אאודי,Q2,2019,1498,111138,1,אוטומטית,שנהב לבן,פרטי,146500,בנזין,150
מאזדה,CX-5,2023,1998,0,1,אוטומטית,שנהב לבן,חברה,178500,בנזין,165
פיג'ו,208,2018,1199,124403,1,אוטומטית,אדום,השכרה,46130,בנזין,110
סקודה,אוקטביה,2020,1498,87659,1,אוטומטית,כסף מטלי,-,104293,בנזין,150
מיצובישי,אאוטלנדר,2018,1998,102412,1,אוטומטית,שנהב לבן,ליסינג,98400,בנזין,150
אאודי,Q3,2021,1984,29750,1,אוטומטית,אדום מטל,חברה,219743,בנזין,190
מאזדה,3,2018,1998,44000,2,אוטומטית,שחור,-,97500,בנזין,165
סקודה,אוקטביה,2019,1498,115471,1,אוטומטית,קפה מטאלי,-,93834,בנזין,150
סקודה,קודיאק,2019,1498,115273,1,אוטומטית,כסף מטלי,ליסינג,126269,בנזין,150
סיאט,אטקה,2018,1395,99000,1,אוטומטית,אפור,-,96900,בנזין,150
סיטרואן,C3,2021,1199,59491,1,אוטומטית,שנהב לבן,חברה,90930,בנזין,110
יונדאי,טוסון,2019,1999,83531,1,אוטומטית,לבן,-,103900,בנזין,155
קיה,ספורטאז,2019,1598,96889,1,אוטומטית,לבן,-,103471,דיזל,136
סקודה,קודיאק,2019,1968,110000,1,אוטומטית,שנהב לבן,חברה,196500,דיזל,190
פיג'ו,208,2020,1199,57731,1,אוטומטית,אפור כהה,חברה,95469,בנזין,130
פיג'ו,2008,2019,1199,57449,1,אוטומטית,לבן,-,68201,בנזין,110
סיאט,ארונה,2021,999,27096,1,אוטומטית,אפור כהה,ליסינג,107304,בנזין,110
מיצובישי,אקליפס,2019,1499,92350,1,אוטומטית,ברונזה,ליסינג,106472,בנזין,163
טויוטה,C-HR,2020,1798,120801,1,אוטומטית,כסוף כהה מטלי,ליסינג,124900,בנזין,98
ניסאן,אקס טרייל,2019,1749,52000,1,אוטומטית,שנהב לבן,חברה,139000,דיזל,150
שברולט,ספארק,2020,1399,11315,1,אוטומטית,אדום מטל,ליסינג,76885,בנזין,98
קיה,ספורטאז,2018,1999,134485,1,אוטומטית,לבן,-,101924,בנזין,155
קיה,פיקנטו,2018,1248,112000,1,אוטומטית,תכלת,-,64000,בנזין,84
וולבו,XC60,2020,1969,70277,1,אוטומטית,שנהב לבן,חברה,265000,חשמל/בנזין,389
סיטרואן,C3,2019,1199,108037,1,אוטומטית,לבן,-,71840,בנזין,110
סקודה,קודיאק,2018,1395,98000,1,אוטומטית,שחור,פרטי,137500,בנזין,150
מיצובישי,אאוטלנדר,2020,1998,100612,1,אוטומטית,שנהב לבן,ליסינג,139696,בנזין,150
סיאט,ארונה,2020,999,32000,1,אוטומטית,אפור כהה,-,101900,בנזין,115
קאדילאק,XT5,2022,1997,23000,2,אוטומטית,לבן,פרטי,265000,בנזין,237
אאודי,S8,2016,3993,111000,3,אוטומטית,כסף,-,259900,בנזין,520
וולבו,XC40,2018,1969,77000,1,אוטומטית,שנהב לבן,חברה,151530,בנזין,190
לנד רובר,R.ROVER ‏EVOQUE,2022,1997,6173,1,אוטומטית,ברונזה,פרטי,359000,בנזין,200
פורד,אקספלורר,2019,3497,90000,1,אוטומטית,לבן,-,212500,בנזין,290
סקודה,אוקטביה,2020,1498,117426,1,אוטומטית,שנהב לבן,ליסינג,91700,בנזין,150
טויוטה,יאריס,2021,1490,21000,1,אוטומטית,שנהב לבן,פרטי,110000,בנזין,92
סקודה,אוקטביה,2019,1498,91900,1,אוטומטית,אפור מטל,ליסינג,98145,בנזין,150
סקודה,אוקטביה,2020,1498,77444,1,אוטומטית,אפור מטל,-,103200,בנזין,150
וולבו,S90,2017,1969,100000,2,אוטומטית,שנהב לבן,פרטי,179000,בנזין,320
קיה,ספורטאז,2019,1591,50000,2,אוטומטית,שנהב לבן,חברה,118000,בנזין,177
סיטרואן,ברלינגו,2019,1499,117680,1,ידנית,שנהב לבן,חברה,79314,דיזל,75
פורד,קוגה,2020,1498,71000,1,אוטומטית,אפור,-,107800,בנזין,175
מיצובישי,אאוטלנדר,2019,2360,33732,1,אוטומטית,אדום,-,147000,חשמל/בנזין,135
פורד,קוגה,2020,1498,50950,1,אוטומטית,כסף מטלי,-,108214,בנזין,175
אאודי,E-TRON,2020,0,34648,1,אוטומטית,אפור מטל,-,350000,חשמל,408
אאודי,Q5,2021,1984,49000,1,אוטומטית,שחור,-,322000,בנזין,265
רנו,קדג'אר,2017,1197,67267,2,אוטומטית,שחור מטלי,חברה,73411,בנזין,130
יונדאי,וניו,2020,1598,22000,1,אוטומטית,בורדו מטל,פרטי,102000,בנזין,123
סקודה,סקאלה,2020,999,101551,1,אוטומטית,כסף מטלי,ליסינג,72124,בנזין,115
מיצובישי,אאוטלנדר,2019,1998,125917,1,אוטומטית,שנהב לבן,ליסינג,125238,בנזין,150
קיה,ספורטאז,2020,1999,44859,1,אוטומטית,לבן,-,121700,בנזין,155
סיאט,ארונה,2019,999,37909,1,אוטומטית,שנהב לבן,ליסינג,91300,בנזין,115
יונדאי,אקסנט,2020,1368,66810,1,אוטומטית,שנהב לבן,ליסינג,88800,בנזין,100
פולקסווגן,טיגואן,2019,1498,65000,1,אוטומטית,לבן,-,145000,בנזין,150
אופל,INSIGNIA,2019,1490,123950,1,אוטומטית,כסף מטלי,-,86703,בנזין,165
סקודה,אוקטביה,2020,1498,100642,1,אוטומטית,אפור מטל,ליסינג,101400,בנזין,150
ניסאן,קשקאי,2020,1332,57257,1,אוטומטית,שנהב לבן,חברה,138284,בנזין,160
