company,car type,year,engine volume,km,hand,gear box,color,current owner,price,gas,horse power
סקודה,אוקטביה,2019,1498,76508,1,אוטומטית,אפור מטל,-,95300,בנזין,150
סקודה,אוקטביה,2019,999,119589,1,אוטומטית,כסף מטלי,-,83227,בנזין,115
יונדאי,איוניק,2020,1580,107083,1,אוטומטית,שנהב לבן,ליסינג,99700,בנזין,141
ניסאן,אקס טרייל,2018,1598,160000,1,אוטומטית,שחור מטלי,-,90000,דיזל,130
קיה,נירו,2020,1580,110172,1,אוטומטית,אפור,חברה,130621,חשמל/בנזין,141
שברולט,ספארק,2021,1399,109719,1,אוטומטית,שחור מטלי,השכרה,58780,בנזין,98
קיה,נירו,2019,1580,123518,1,אוטומטית,כחול,ליסינג,101618,בנזין,141
אאודי,E-TRON,2020,0,37000,1,אוטומטית,אפור מטל,-,379900,חשמל,408
פיג'ו,5008,2019,1598,81515,1,אוטומטית,שנהב לבן,חברה,114476,בנזין,165
ניסאן,אקס טרייל,2021,1332,57794,1,אוטומטית,אפור מטל,-,154676,בנזין,160
קאדילאק,אסקלייד,2023,6162,0,1,אוטומטית,לבן,פרטי,849000,בנזין,420
סיאט,איביזה,2020,999,77967,1,אוטומטית,שנהב לבן,השכרה,72967,בנזין,115
סקודה,אוקטביה,2019,1498,102721,1,אוטומטית,כסף מטלי,-,87500,בנזין,150
קיה,פיקנטו,2020,1248,78371,1,אוטומטית,שחור,-,65615,בנזין,84
קיה,פיקנטו,2020,1248,47693,2,אוטומטית,כסוף כהה,-,69900,בנזין,84
מרצדס,GLC ‏COUPE,2022,1991,15000,2,אוטומטית,שחור,פרטי,445000,בנזין,197
אם.ג'י - ‏MG,MG 350,2015,1498,58875,2,אוטומטית,כסף מטלי,חברה,29408,בנזין,106
שברולט,ספארק,2020,1399,27961,1,אוטומטית,לבן,-,74921,בנזין,98
אאודי,A6,2014,1984,218000,2,אוטומטית,שחור מטלי,חברה,59000,בנזין,180
פורד,מוסטנג,2022,2261,7000,1,אוטומטית,אדום,-,265000,בנזין,310
סובארו,פורסטר,2015,1995,143000,1,אוטומטית,לבן,-,70000,בנזין,150
סיטרואן,קקטוס,2018,1199,110000,1,אוטומטית,כסף,-,45000,בנזין,110
מיצובישי,אאוטלנדר,2020,1998,28800,1,אוטומטית,שחור,חברה,146329,בנזין,150
קיה,אופטימה,2018,1999,92000,1,אוטומטית,אפור,-,107900,בנזין,156
טויוטה,קורולה,2019,1798,115448,1,אוטומטית,שנהב לבן,חברה,110522,בנזין,98
מיצובישי,ספייס סטאר,2019,1193,118132,1,אוטומטית,אפור,השכרה,52683,בנזין,80
ניסאן,אלמרה,2021,2488,78500,1,אוטומטית,אפור מטל,-,109900,בנזין,188
פיג'ו,3008,2017,1598,97000,1,אוטומטית,אפור,חברה,114000,בנזין,165
קיה,סטוניק,2021,1368,6500,1,אוטומטית,לבן,-,101500,בנזין,100
פיג'ו,2008,2019,1199,119276,1,אוטומטית,שנהב לבן,ליסינג,61234,בנזין,110
קיה,נירו,2020,1580,109881,1,אוטומטית,שנהב לבן,חברה,125773,בנזין,141
סיאט,אטקה,2018,1395,103000,2,אוטומטית,שחור,-,88900,בנזין,150
אם.ג'י - ‏MG,ZS,2019,999,79579,1,אוטומטית,שנהב לבן,חברה,69875,בנזין,110
שברולט,ספארק,2020,1399,93057,1,אוטומטית,לבן,-,54197,בנזין,98
יונדאי,איוניק,2020,1580,111370,1,אוטומטית,שחור,ליסינג,102777,בנזין,141
קיה,פיקנטו,2019,1248,92696,1,אוטומטית,שחור,השכרה,77394,בנזין,84
אאודי,Q3,2017,1984,89529,2,אוטומטית,שחור מטלי,חברה,122000,בנזין,180
סובארו,XV,2015,1600,118000,1,אוטומטית,חום בהיר,פרטי,65000,בנזין,114
וולבו,S60,2019,1969,62937,1,אוטומטית,אפור מטל,-,200000,חשמל/בנזין,390
וולבו,XC60,2018,1969,95875,1,אוטומטית,שנהב לבן,ליסינג,217000,חשמל/בנזין,407
סקודה,קודיאק,2019,1498,93432,1,אוטומטית,אפור מטל,חברה,159123,בנזין,150
פולקסווגן,טיגואן,2018,1395,150000,1,אוטומטית,שנהב לבן,חברה,117500,בנזין,150
סקודה,קודיאק,2018,1395,90000,1,אוטומטית,לבן,-,144000,בנזין,150
יונדאי,I10,2019,1248,88047,1,אוטומטית,שנהב לבן,השכרה,61770,בנזין,87
טויוטה,קורולה,2020,1798,103886,1,אוטומטית,כסף מטלי,-,95000,בנזין,98
פיג'ו,2008,2019,1199,106166,1,אוטומטית,שנהב לבן,ליסינג,59581,בנזין,110
ניסאן,אקס טרייל,2021,1332,47000,2,אוטומטית,שנהב לבן,פרטי,129000,בנזין,160
פורד,קוגה,2020,1498,35745,1,אוטומטית,כסף מטלי,-,104900,בנזין,175
פיג'ו,2008,2019,1199,74903,1,אוטומטית,לבן,ליסינג,63630,בנזין,110
קיה,פיקנטו,2020,1248,74809,1,אוטומטית,כסף,השכרה,61285,בנזין,84
יונדאי,אלנטרה,2020,1591,115199,1,אוטומטית,כסף,ליסינג,96020,בנזין,127
אם.ג'י - ‏MG,ZS,2020,0,92000,1,אוטומטית,לבן,-,102900,חשמל,143
צ'רי,FX,2023,1598,0,1,אוטומטית,שחור מטלי,חברה,149000,בנזין,186
מזראטי,לבנטה,2020,2979,44900,2,אוטומטית,שנהב לבן,חברה,400000,בנזין,350
פיג'ו,2008,2022,1499,50000,1,אוטומטית,לבן,-,131900,דיזל,130
סיאט,ארונה,2020,999,111410,1,אוטומטית,שנהב לבן,ליסינג,80300,בנזין,115
יונדאי,I10,2019,1248,44822,1,אוטומטית,שנהב לבן,חברה,73678,בנזין,87
אאודי,A4,2021,1984,30600,1,אוטומטית,שחור,-,204000,בנזין,150
פיג'ו,3008,2020,1199,43651,1,אוטומטית,לבן,-,134900,בנזין,130
סקודה,קארוק,2020,1498,107918,1,אוטומטית,שחור מטלי,ליסינג,117000,בנזין,150
ניסאן,מיקרה,2019,1198,81500,2,ידנית,טורקיז מטאלי,-,33000,בנזין,80
מרצדס,S-Class,2021,2925,21000,2,אוטומטית,שחור,-,745000,דיזל,286
ניסאן,ג׳וק,2011,1598,193000,1,אוטומטית,אדום מטל,חברה,25000,בנזין,117
קיה,פיקנטו,2019,1248,54590,1,אוטומטית,שנהב לבן,ליסינג,67877,בנזין,84
קאדילאק,XT5,2018,3649,70312,2,אוטומטית,לבן,-,175000,בנזין,310
יונדאי,I10,2021,1197,25074,1,אוטומטית,טורקיז מטאלי,חברה,80518,בנזין,84
